imageid,keywords,year,_material,_height,_width,_time,_description
5dca669a-ee02-4cf9-9db7-d765838e8d93,"Saint-Rémy-de-Provence,drawing,Figures,Peasant Life",1890,"chalk on paper",3230,2380,1890,"Figures Working the Land"
493f8376-6aeb-48c1-8fcb-f7126e9af8c8,"Paris,painting,study,Still Life,Figures,nude",1886,"oil on cardboard",2720,3530,1886,"Torso of Venus"
992e3166-950d-4e9a-b226-80e4699b3083,"sketch,drawing",1886,"chalk on paper",1360,1020,1886,"Four Feet and note"
e2dbb002-abdf-4c7a-87a1-36cca646a17f,"Saint-Rémy-de-Provence,drawing,Figures",1890,"chalk on paper",2470,3280,1890,"Studies of a Foot"
9011ac33-3120-471e-b274-e803f50b0eea,"The Hague,drawing,Figures,Heads",1882,pencil,3130,5100,"1882 - 1883","Girl with a Shawl"
db88cd41-be1c-4fa8-8386-2814e758d921,"Auvers-sur-Oise,print,Portrait",1890,etching,1500,1800,1890,"Portrait of Dr Gachet"
00109cb3-6fd8-4cbf-aec5-bc9afa154438,"Paris,painting,Still Life",1886,"oil on canvas",4530,3810,1886,Shoes
9b506b26-ca42-4669-96e5-6b231e651018,"Arles,drawing,Cityscape,landscape",1888,chalk,3480,2570,1888,"Avenue in a Park"
cbc813a8-0730-449e-a2aa-2f25bf9e24c1,"Saint-Rémy-de-Provence,drawing,Nature",1889,"chalk on paper",3260,2420,1889,"Sketch of Pine Trees"
cd69f8ec-64e8-4eb7-8f7e-fa2459ae32e5,"Saint-Rémy-de-Provence,drawing,Nature",1889,chalk,6180,3730,1889,"Stone Bench in the Garden of the Asylum"
08789e1d-a6f4-4b01-9f57-06f33519727a,"Nuenen,drawing,Figures,Peasant Life",1885,"chalk on paper",4530,3970,1885,"Peasant Woman Lifting Potatoes"
c8ba641a-873b-44bb-86a9-4fd62c35d7eb,"Drenthe,drawing,landscape,Peasant Life",1883,pencil,4210,3140,1883,"Landscape in Drenthe"
76f383e1-8a8e-42ad-827a-974e82d2aa37,"Auvers-sur-Oise,painting,Townscape",1890,"oil on canvas",5250,5020,1890,"View of Auvers"
cb3c1ff9-7f47-46ef-b7ed-5a66ca95e529,"Nuenen,drawing,Figures",1885,"chalk on paper",1860,3100,1885,"Woman with a Shawl"
83087bf5-6ea0-4475-97fe-28561894365c,"Paris,drawing,Figures,Still Life",1886,charcoal,6260,4790,1886,"L&#39;Ecorch&#233; and Borghese Gladiator"
66f80cfe-01e3-40d2-8f4d-2c04555ca347,"The Hague,watercolour,landscape,Nature,Cityscape",1882,pencil,5580,3800,1882,"Pollard Willow"
492685c6-f2f0-4956-8a88-dd0b13deb32a,"Nuenen,drawing,Townscape,Peasant Life",1883,"pen and ink",2550,1590,1883,"Churchyard in Winter"
b4217101-4353-4fcc-985c-b08b2a7014dd,"The Hague,print,Figures",1882,lithography,3580,4350,1882,Digger
a551c947-ed0b-410e-ac74-a6cd66aa0c6b,"Saint-Rémy-de-Provence,painting,Nature,Animals",1889,"oil on canvas",0,3350,1889,"Giant Peacock Moth"
5ae79c53-52e7-428b-bcd5-1d2e83593ff8,"The Hague,drawing,Figures",1882,"pencil on paper",1590,3120,1882,"Boy with a Cap and Clogs"
